Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Tue Aug  2 20:39:00 2016,999.0,50.2,42.6,42.6,78.5,79.6,24.5,25.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0925,0.0000,0,73.20,0.00,0.00,0.00,1.23,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.237,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8035.538,2476.811,0.000,0.000,0.000
Tue Aug  2 20:54:00 2016,999.0,48.5,43.2,43.2,78.4,79.6,24.5,25.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0607,0.0000,0,53.14,0.00,0.00,0.00,0.79,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.596,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8035.897,2476.811,0.000,0.000,0.000
Tue Aug  2 21:09:00 2016,999.0,46.6,42.2,42.2,78.2,79.5,25.1,25.5,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,0.0000,0,63.51,0.00,0.00,0.00,0.90,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.883,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8036.184,2476.811,0.000,0.000,0.000
Tue Aug  2 21:24:00 2016,999.0,45.3,41.2,41.2,78.0,79.4,25.5,25.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0426,0.0000,0,42.67,0.00,0.00,0.00,0.55,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,15.219,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8036.520,2476.811,0.000,0.000,0.000
Tue Aug  2 21:39:00 2016,999.0,44.3,40.5,40.5,77.9,79.3,25.2,26.4,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0374,0.0000,0,43.21,0.00,0.00,0.00,0.48,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,15.512,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8036.813,2476.811,0.000,0.000,0.000
Tue Aug  2 21:54:00 2016,999.0,43.5,39.8,39.8,77.7,79.3,24.7,26.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1246,0.0000,0,176.85,0.00,0.00,0.00,1.56,0.00,0.00,0.00,4,0,0,0,1,1,40.00,0.00,0.00,0.00,15.764,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.065,2476.811,0.000,0.000,0.000
Tue Aug  2 22:09:00 2016,999.0,42.8,39.3,39.3,77.6,79.2,24.6,25.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1985,0.0000,0,318.67,0.00,0.00,0.00,2.51,0.00,0.00,0.00,4,0,0,0,1,0,39.00,0.00,0.00,0.00,15.969,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.270,2476.811,0.000,0.000,0.000
Tue Aug  2 22:24:00 2016,999.0,42.2,38.8,38.8,77.4,79.2,24.4,25.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1679,0.0000,0,334.17,0.00,0.00,0.00,2.09,0.00,0.00,0.00,4,0,0,0,1,0,39.00,0.00,0.00,0.00,16.136,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.437,2476.811,0.000,0.000,0.000
Tue Aug  2 22:39:00 2016,999.0,41.7,38.5,38.5,77.3,79.1,24.5,25.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1306,0.0000,0,333.74,0.00,0.00,0.00,1.63,0.00,0.00,0.00,4,0,0,0,1,0,39.00,0.00,0.00,0.00,16.267,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.568,2476.811,0.000,0.000,0.000
Tue Aug  2 22:54:00 2016,999.0,41.2,38.0,38.0,77.1,79.1,25.1,25.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0910,0.0000,0,321.99,0.00,0.00,0.00,1.14,0.00,0.00,0.00,4,0,0,0,1,0,38.00,0.00,0.00,0.00,16.361,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.662,2476.811,0.000,0.000,0.000
