Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Sun Jul 10 00:18:06 2016,999.0,39.8,36.7,36.7,73.6,75.8,23.1,23.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0575,0.0000,0,312.63,0.00,0.00,0.00,0.71,0.00,0.00,0.00,-1,0,0,0,1,0,0.00,0.00,0.00,0.00,14.042,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.264,2335.023,0.000,0.000,0.000
Sun Jul 10 00:33:06 2016,999.0,39.3,36.4,36.4,73.4,75.7,23.1,23.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0357,0.0000,0,309.28,0.00,0.00,0.00,0.47,0.00,0.00,0.00,3,0,0,0,1,0,37.00,0.00,0.00,0.00,14.078,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.300,2335.023,0.000,0.000,0.000
Sun Jul 10 00:48:06 2016,999.0,38.9,36.0,36.0,73.1,75.6,23.1,23.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,0.0000,0,244.07,0.00,0.00,0.00,0.14,0.00,0.00,0.00,3,0,0,0,1,0,36.00,0.00,0.00,0.00,14.087,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.309,2335.023,0.000,0.000,0.000
Sun Jul 10 01:03:06 2016,999.0,38.5,35.7,35.7,72.9,75.6,23.1,23.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.0000,0,243.92,0.00,0.00,0.00,0.10,0.00,0.00,0.00,3,0,0,0,1,0,35.00,0.00,0.00,0.00,14.092,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.314,2335.023,0.000,0.000,0.000
Sun Jul 10 01:18:06 2016,999.0,38.2,35.4,35.4,72.7,75.5,23.1,23.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0,270.49,0.00,0.00,0.00,0.02,0.00,0.00,0.00,3,0,0,0,1,0,35.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 01:33:06 2016,999.0,37.8,35.1,35.1,72.6,75.4,23.1,23.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,327.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,1,0,34.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 01:48:06 2016,999.0,37.5,34.8,34.8,72.4,75.3,23.1,23.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,228.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,1,0,33.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 02:03:06 2016,999.0,37.1,34.6,34.6,72.3,75.3,23.1,23.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,32.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 02:18:06 2016,999.0,36.8,34.3,34.3,72.1,75.2,23.0,23.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 02:33:06 2016,999.0,36.5,34.1,34.1,72.0,75.1,22.8,23.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 02:48:06 2016,999.0,36.2,33.8,33.8,71.8,75.1,22.8,23.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
